en	ru
"Let me cum?" Odds  (1 in N chance)	Шанс на "Можно кончить?"  (1 к N)
(single word)	(одно слово)
(up to 6 seconds)	(до 6 секунд)
0 edges	0 эджей
1 in	1 к
1-in-N chance	шанс 1 к N
1–9  zoom in    •    here  confirm    •    back  step back    •    cancel  reset	1–9  приблизить    •    "here"  подтвердить    •    "back"  назад    •    "cancel"  сбросить
? Setup Guide	? Руководство по настройке
After you back off the edge and hold for the configured time (Settings → Edging behaviour), volume ramps back toward your max until you edge again — then the cycle repeats. Off = normal reactive mode.	После того как ты отступаешь от грани и держишься заданное время (Настройки → Поведение на грани), громкость снова растёт к твоему максимуму, пока ты снова не подойдёшь к грани — затем цикл повторяется. Выкл = обычный реактивный режим.
Aggressiveness	Агрессивность
Already at full view!	Уже в полном виде!
Appearance	Оформление
Apply (restarts app)	Применить (перезапускает приложение)
Audio: No Device	Аудио: Нет устройства
Audio: OK	Аудио: OK
Auto-calibrate heights by observing motion range	Автокалибровка высот по наблюдению за диапазоном движения
Auto-Cum Detection	Автоопределение оргазма
Auto-detect cum	Определять оргазм автоматически
Back to full view — navigate to the 🌿 stem!	Назад к полному виду — перейди к стеблю 🌿!
Before you hit Start	Перед тем как нажать Старт
BLE Direct	BLE напрямую
BLE HR — Scan	BLE Пульс — Сканировать
Bondage Mode — hands-free voice control (requires Vosk model)	Режим бондажа — голосовое управление без рук (нужна модель Vosk)
Calibration	Калибровка
Calibration — set all 3 (required)	Калибровка — задай все 3 (обязательно)
Can't reach xToys — check your internet connection and Webhook ID.	Не удаётся связаться с xToys — проверь интернет-соединение и Webhook ID.
Cancel	Отмена
Cell {} — 'here' to pin · up/down/left/right to nudge · 'back' to step back · 'cancel' to reset	Ячейка {} — "here" закрепить · "up/down/left/right" сдвинуть · "back" шаг назад · "cancel" сбросить
Close	Закрыть
Configure your microphone and safeword before the session starts.	Настрой микрофон и стоп-слово до начала сессии.
Confirm Head Area ✅	Подтвердить область головки ✅
Connect	Подключить
Continue →	Далее →
Controls how fast volume ramps and 'Let me cum?' odds.\nEasy: gentle ramps, 1-in-2 odds, 5 min grant\nMiddle: moderate ramps, 1-in-4 odds, 5 min grant\nHard: fast ramps, 1-in-6 odds, 3 min grant\nExpert: aggressive ramps, 1-in-30 odds, 1 min grant	Управляет тем, как быстро растёт громкость и шансами "Можно кончить?".\nЛёгкий: плавный рост, 1 к 2, разрешение на 5 мин\nСредний: умеренный рост, 1 к 4, разрешение на 5 мин\nСложный: быстрый рост, 1 к 6, разрешение на 3 мин\nЭксперт: агрессивный рост, 1 к 30, разрешение на 1 мин
Cooldown after I've CUM	Перерыв после того, как я КОНЧИЛ
Copied!	Скопировано!
Copy	Копировать
Countdown delay	Задержка отсчёта
CUM NOW! {}:00	КОНЧАЙ СЕЙЧАС! {}:00
CUM NOW! {}:{}	КОНЧАЙ СЕЙЧАС! {}:{}
Cum Volume Behavior	Поведение громкости при оргазме
Default mic device:	Микрофон по умолчанию:
Default safeword:	Стоп-слово по умолчанию:
Denial Phrases  (one per line)	Фразы отказа  (по одной в строке)
DENIED!	ОТКАЗАНО!
Detection sensitivity	Чувствительность определения
Device:	Устройство:
Download	Скачать
Drag handles to set volume floor (bottom) and ceiling (top).\nGreen triangle = where 'Let me cum?' sends volume.\nChange override behavior in Settings > Cum Volume Behavior.	Перетаскивай ползунки, чтобы задать нижнюю (низ) и верхнюю (верх) границы громкости.\nЗелёный треугольник = куда "Можно кончить?" отправляет громкость.\nИзмени поведение перекрытия в Настройки > Поведение громкости при оргазме.
Draw a rectangle on the video feed — YOLO reanchor detections inside it will be ignored	Нарисуй прямоугольник на видео — повторные захваты YOLO внутри него будут игнорироваться
e.g. 8hR5acKTCx2s	напр. 8hR5acKTCx2s
Edging behaviour	Поведение на грани
Edging Sensitivity	Чувствительность грани
Enable hands-free mode	Включить режим без рук
EVIL MODE	ЗЛОЙ РЕЖИМ
First time setup?	Первая настройка?
Font Size	Размер шрифта
Free tool. One guy made it. Tribute your dev? 😈	Бесплатный инструмент. Сделал один человек. Отблагодарить разработчика? 😈
Freeze volume at current level — tracking continues but volume won't change	Заморозить громкость на текущем уровне — отслеживание продолжается, но громкость не меняется
Get ID ↗	Получить ID ↗
Got it — close	Понятно — закрыть
Hands-Free "Let Me Cum?"	Без рук "Можно кончить?"
hard stop — mic stays on.\nsay "resume session" to continue	жёсткая остановка — микрофон остаётся включённым.\nскажи "resume session", чтобы продолжить
HELD [|]	УДЕРЖАНО [|]
Higher HR → stronger denial, slower rewards.  Get a free token at pulsoid.net/ui/keys — works with Polar, Garmin, Apple Watch, most BLE chest straps via the Pulsoid app.	Выше пульс → сильнее отказ, медленнее награды.  Получи бесплатный токен на pulsoid.net/ui/keys — работает с Polar, Garmin, Apple Watch и большинством нагрудных ремней BLE через приложение Pulsoid.
Higher sensitivity = triggers on less motion change. If it fires too easily, lower this. The countdown delay lets you cancel false positives.	Выше чувствительность = срабатывает при меньшем изменении движения. Если срабатывает слишком легко, снизь это. Задержка отсчёта позволяет отменить ложные срабатывания.
Hold Volume	Удерживать громкость
How long after cumming before the session auto-resumes. Set to 0 to disable the timer and resume manually. Clicking the button during refractory skips it early.	Сколько времени после оргазма до автоматического возобновления сессии. Поставь 0, чтобы отключить таймер и возобновлять вручную. Нажатие кнопки во время рефрактерного периода пропускает его раньше.
HR Source:	Источник пульса:
HTTP {}	HTTP {}
I'm ready — select my camera feed  →	Я готов — выбрать мою камеру  →
I've CUM	Я КОНЧИЛ
In xToys: load the VisualStimEdger script → add your toy under Connections → Generic Output, then press ▶ to run it (nothing moves until it runs). Tap “Get ID” to open xtoys.app/me → Private Webhook, then paste the ID here.	В xToys: загрузи скрипт VisualStimEdger → добавь свою игрушку в Connections → Generic Output, затем нажми ▶, чтобы запустить (ничего не двигается, пока он не запущен). Нажми "Get ID", чтобы открыть xtoys.app/me → Private Webhook, и вставь ID сюда.
Let me cum?	Можно кончить?
Level	Уровень
loading…	загрузка…
Loop:	Повтор:
Manual ✚	Вручную ✚
Mic level:	Уровень микрофона:
Microphone:	Микрофон:
Min edges	Мин. эджей
Miss — aim for the green ring at the top!	Мимо — целься в зелёное кольцо сверху!
MP3: {}	MP3: {}
Navigate to the 🌿 stem!	Перейди к стеблю 🌿!
No device selected	Устройство не выбрано
No file loaded	Файл не загружен
Not now	Не сейчас
Not yet. Wait {}s.	Ещё нет. Подожди {}с.
OBS Overlay:	OBS-оверлей:
OK	OK
Optional cut-off	Опциональный обрез
OPTIONAL hard cut-off — you don't need this set. Place a yellow line above the red edging line; cross ABOVE it and volume instantly drops to your floor, so a sudden spike can't finish you before the normal ramp reacts. Leave it unset (or push it to the very top) to disable. ✕ clears it.	ОПЦИОНАЛЬНЫЙ жёсткий обрез — его не обязательно задавать. Помести жёлтую линию над красной линией грани; пересечёшь её ВВЕРХ — громкость мгновенно падает до твоего минимума, чтобы внезапный скачок не довёл тебя до конца раньше, чем среагирует обычный рост. Оставь без значения (или задвинь в самый верх), чтобы отключить. ✕ очищает его.
Out:	Выход:
Output	Вывод
Override to 100% volume (ignore range)	Форсировать громкость на 100% (игнорировать диапазон)
Per-difficulty tuning below. Recovery = how fast volume climbs back while you hold in the erect zone (%/sec). Hold = seconds off the edge before Active Edging ramps. Ramp = how fast it climbs to max (%/sec). Defaults get more relentless on harder levels.	Тонкая настройка по сложности ниже. Восстановление = как быстро растёт громкость, пока ты держишься в твёрдой зоне (%/с). Удержание = секунды вне грани до того, как Активный эджинг начнёт рост. Рост = как быстро он поднимается до максимума (%/с). Значения по умолчанию становятся беспощаднее на сложных уровнях.
Play Mode — minimal immersive view; hides settings	Иммерсивный режим — минимальный погружённый вид; скрывает настройки
Practice Grid →	Тренировочная сетка →
Press after finishing — volume drops to 0 and stays there. Press again (as 'Resume') if you want to go another round.	Нажми после завершения — громкость падает до 0 и остаётся там. Нажми снова (как "Возобновить"), если хочешь ещё раунд.
Pulls the Edging state-display toward Erect by N pixels so the OBS overlay lights up earlier. Affects only the State label / OBS broadcast — the volume / denial math always uses the strict calibrated line.	Смещает отображение состояния "На грани" на N пикселей к Твёрдому, чтобы OBS-оверлей загорался раньше. Влияет только на метку Состояния / трансляцию OBS — расчёт громкости / отказа всегда использует строго откалиброванную линию.
Pulsoid	Pulsoid
Pulsoid Token:	Токен Pulsoid:
pulsoid.net/ui/keys (paid plan required)	pulsoid.net/ui/keys (нужен платный план)
Re-Select Feed	Заново выбрать видео
Re-Select Head	Заново выбрать головку
Recover volume when held in the erect zone	Восстанавливать громкость при удержании в твёрдой зоне
Refractory Period	Рефрактерный период
Refractory: {}:00	Рефрактерный: {}:00
Refractory: {}:00\n(click to skip)	Рефрактерный: {}:00\n(нажми, чтобы пропустить)
Refractory: {}:{}\n(click to skip)	Рефрактерный: {}:{}\n(нажми, чтобы пропустить)
Refresh	Обновить
Remove all exclusion zones	Удалить все зоны исключения
Reset Defaults	Сбросить по умолчанию
Reset — navigate to the 🌿 stem!	Сброс — перейди к стеблю 🌿!
Respect volume ceiling (stay within range)	Соблюдать верхнюю границу громкости (оставаться в диапазоне)
Restim	Restim
Restim disconnected — enable its WebSocket server and check the port matches.	Restim отключён — включи его WebSocket-сервер и проверь, что порт совпадает.
Restim Port:	Порт Restim:
Resume	Возобновить
Roll the dice — odds depend on aggressiveness. Win = temporary full volume permission	Брось кости — шансы зависят от агрессивности. Победа = временное разрешение полной громкости
Ruin Phrases (one per line)	Фразы порчи (по одной в строке)
RUINED 😈	ИСПОРЧЕНО 😈
Safeword:	Стоп-слово:
Sample Text Abc 123	Пример текста Abc 123
Say a number, or "cancel"	Скажи число или "cancel"
Scanning for BLE HR monitors…	Поиск BLE-мониторов пульса…
Scan…	Сканировать…
Score: 0	Счёт: 0
Score: {}	Счёт: {}
Select audio file	Выбрать аудиофайл
Select music folder	Выбрать папку с музыкой
Session: 00:00  |  Edges: 0	Сессия: 00:00  |  Эджи: 0
Session: {}:{}  |  Edges: {}  |  Edging {}%  Erect {}%  Flaccid {}%	Сессия: {}:{}  |  Эджи: {}  |  На грани {}%  Твёрдый {}%  Вялый {}%
Settings	Настройки
