en	pt
"Let me cum?" Odds  (1 in N chance)	Chance de "Posso gozar?"  (1 em N)
(single word)	(uma única palavra)
(up to 6 seconds)	(até 6 segundos)
0 edges	0 edges
1 in	1 em
1-in-N chance	chance 1 em N
1–9  zoom in    •    here  confirm    •    back  step back    •    cancel  reset	1–9  aproximar    •    "here"  confirmar    •    "back"  voltar    •    "cancel"  redefinir
? Setup Guide	? Guia de configuração
After you back off the edge and hold for the configured time (Settings → Edging behaviour), volume ramps back toward your max until you edge again — then the cycle repeats. Off = normal reactive mode.	Depois que você recua da beira e segura pelo tempo configurado (Configurações → Comportamento da beira), o volume volta a subir até o seu máximo até você chegar na beira de novo — aí o ciclo se repete. Desligado = modo reativo normal.
Aggressiveness	Agressividade
Already at full view!	Já está na visão completa!
Appearance	Aparência
Apply (restarts app)	Aplicar (reinicia o app)
Audio: No Device	Áudio: Nenhum dispositivo
Audio: OK	Áudio: OK
Auto-calibrate heights by observing motion range	Calibrar as alturas automaticamente observando a amplitude de movimento
Auto-Cum Detection	Detecção automática de orgasmo
Auto-detect cum	Detectar orgasmo automaticamente
Back to full view — navigate to the 🌿 stem!	Voltar à visão completa — navegue até o caule 🌿!
Before you hit Start	Antes de apertar Iniciar
BLE Direct	BLE direto
BLE HR — Scan	BLE FC — Escanear
Bondage Mode — hands-free voice control (requires Vosk model)	Modo Bondage — controle por voz sem as mãos (requer o modelo Vosk)
Calibration	Calibração
Calibration — set all 3 (required)	Calibração — defina as 3 (obrigatório)
Can't reach xToys — check your internet connection and Webhook ID.	Não foi possível conectar ao xToys — verifique sua conexão de internet e o Webhook ID.
Cancel	Cancelar
Cell {} — 'here' to pin · up/down/left/right to nudge · 'back' to step back · 'cancel' to reset	Célula {} — "here" para fixar · "up/down/left/right" para ajustar · "back" para voltar · "cancel" para redefinir
Close	Fechar
Configure your microphone and safeword before the session starts.	Configure seu microfone e sua palavra de segurança antes da sessão começar.
Confirm Head Area ✅	Confirmar área da cabeça ✅
Connect	Conectar
Continue →	Continuar →
Controls how fast volume ramps and 'Let me cum?' odds.\nEasy: gentle ramps, 1-in-2 odds, 5 min grant\nMiddle: moderate ramps, 1-in-4 odds, 5 min grant\nHard: fast ramps, 1-in-6 odds, 3 min grant\nExpert: aggressive ramps, 1-in-30 odds, 1 min grant	Controla a velocidade com que o volume sobe e as chances de "Posso gozar?".\nFácil: subidas suaves, 1 em 2, permissão de 5 min\nMédio: subidas moderadas, 1 em 4, permissão de 5 min\nDifícil: subidas rápidas, 1 em 6, permissão de 3 min\nExpert: subidas agressivas, 1 em 30, permissão de 1 min
Cooldown after I've CUM	Tempo de espera depois que eu GOZEI
Copied!	Copiado!
Copy	Copiar
Countdown delay	Atraso da contagem regressiva
CUM NOW! {}:00	GOZA AGORA! {}:00
CUM NOW! {}:{}	GOZA AGORA! {}:{}
Cum Volume Behavior	Comportamento do volume ao gozar
Default mic device:	Microfone padrão:
Default safeword:	Palavra de segurança padrão:
Denial Phrases  (one per line)	Frases de negação  (uma por linha)
DENIED!	NEGADO!
Detection sensitivity	Sensibilidade de detecção
Device:	Dispositivo:
Download	Baixar
Drag handles to set volume floor (bottom) and ceiling (top).\nGreen triangle = where 'Let me cum?' sends volume.\nChange override behavior in Settings > Cum Volume Behavior.	Arraste as alças para definir o piso (embaixo) e o teto (em cima) do volume.\nTriângulo verde = para onde "Posso gozar?" manda o volume.\nMude o comportamento em Configurações > Comportamento do volume ao gozar.
Draw a rectangle on the video feed — YOLO reanchor detections inside it will be ignored	Desenhe um retângulo sobre o vídeo — as detecções de reancoragem do YOLO dentro dele serão ignoradas
e.g. 8hR5acKTCx2s	ex. 8hR5acKTCx2s
Edging behaviour	Comportamento da beira
Edging Sensitivity	Sensibilidade da beira
Enable hands-free mode	Ativar modo sem as mãos
EVIL MODE	MODO MALVADO
First time setup?	Primeira configuração?
Font Size	Tamanho da fonte
Free tool. One guy made it. Tribute your dev? 😈	Ferramenta grátis. Feita por uma só pessoa. Fazer um tributo ao dev? 😈
Freeze volume at current level — tracking continues but volume won't change	Congela o volume no nível atual — o rastreamento continua mas o volume não muda
Get ID ↗	Obter ID ↗
Got it — close	Entendi — fechar
Hands-Free "Let Me Cum?"	"Posso gozar?" sem as mãos
hard stop — mic stays on.\nsay "resume session" to continue	parada total — o microfone continua ligado.\ndiga "resume session" para continuar
HELD [|]	SEGURADO [|]
Higher HR → stronger denial, slower rewards.  Get a free token at pulsoid.net/ui/keys — works with Polar, Garmin, Apple Watch, most BLE chest straps via the Pulsoid app.	FC mais alta → negação mais forte, recompensas mais lentas.  Pegue um token grátis em pulsoid.net/ui/keys — funciona com Polar, Garmin, Apple Watch e a maioria das cintas peitorais BLE pelo app do Pulsoid.
Higher sensitivity = triggers on less motion change. If it fires too easily, lower this. The countdown delay lets you cancel false positives.	Sensibilidade mais alta = dispara com menos mudança de movimento. Se disparar fácil demais, abaixe isto. O atraso da contagem regressiva deixa você cancelar os falsos positivos.
Hold Volume	Manter volume
How long after cumming before the session auto-resumes. Set to 0 to disable the timer and resume manually. Clicking the button during refractory skips it early.	Quanto tempo depois de gozar até a sessão retomar sozinha. Coloque 0 para desativar o timer e retomar na mão. Clicar no botão durante o período refratário o pula mais cedo.
HR Source:	Fonte de FC:
HTTP {}	HTTP {}
I'm ready — select my camera feed  →	Estou pronto — selecionar minha câmera  →
I've CUM	EU GOZEI
In xToys: load the VisualStimEdger script → add your toy under Connections → Generic Output, then press ▶ to run it (nothing moves until it runs). Tap “Get ID” to open xtoys.app/me → Private Webhook, then paste the ID here.	No xToys: carregue o script do VisualStimEdger → adicione seu brinquedo em Connections → Generic Output, depois aperte ▶ para executá-lo (nada se move até ele rodar). Toque em "Get ID" para abrir xtoys.app/me → Private Webhook, e cole o ID aqui.
Let me cum?	Posso gozar?
Level	Nível
loading…	carregando…
Loop:	Loop:
Manual ✚	Manual ✚
Mic level:	Nível do microfone:
Microphone:	Microfone:
Min edges	Edges mín.
Miss — aim for the green ring at the top!	Errou — mire no anel verde em cima!
MP3: {}	MP3: {}
Navigate to the 🌿 stem!	Navegue até o caule 🌿!
No device selected	Nenhum dispositivo selecionado
No file loaded	Nenhum arquivo carregado
Not now	Agora não
Not yet. Wait {}s.	Ainda não. Espere {}s.
OBS Overlay:	Overlay do OBS:
OK	OK
Optional cut-off	Corte opcional
OPTIONAL hard cut-off — you don't need this set. Place a yellow line above the red edging line; cross ABOVE it and volume instantly drops to your floor, so a sudden spike can't finish you before the normal ramp reacts. Leave it unset (or push it to the very top) to disable. ✕ clears it.	Corte seco OPCIONAL — você não precisa disso. Coloque uma linha amarela acima da linha vermelha da beira; se cruzar para CIMA, o volume cai na hora para o seu piso, pra que um pico repentino não te faça terminar antes da subida normal reagir. Deixe sem definir (ou empurre lá pro topo) para desativar. ✕ limpa.
Out:	Saída:
Output	Saída
Override to 100% volume (ignore range)	Forçar volume a 100% (ignorar a faixa)
Per-difficulty tuning below. Recovery = how fast volume climbs back while you hold in the erect zone (%/sec). Hold = seconds off the edge before Active Edging ramps. Ramp = how fast it climbs to max (%/sec). Defaults get more relentless on harder levels.	Ajuste por dificuldade abaixo. Recuperação = com que rapidez o volume volta a subir enquanto você segura na zona ereta (%/s). Segurar = segundos longe da beira antes do Edging Ativo subir. Subida = com que rapidez chega ao máximo (%/s). Os padrões ficam mais implacáveis nos níveis difíceis.
Play Mode — minimal immersive view; hides settings	Modo Imersivo — visão mínima e imersiva; esconde as configurações
Practice Grid →	Grade de treino →
Press after finishing — volume drops to 0 and stays there. Press again (as 'Resume') if you want to go another round.	Aperte depois de terminar — o volume cai a 0 e fica lá. Aperte de novo (como "Retomar") se quiser mais uma rodada.
Pulls the Edging state-display toward Erect by N pixels so the OBS overlay lights up earlier. Affects only the State label / OBS broadcast — the volume / denial math always uses the strict calibrated line.	Puxa a exibição do estado "Na beira" em N pixels na direção de Ereto para o overlay do OBS acender mais cedo. Afeta só o rótulo de Estado / a transmissão do OBS — o cálculo de volume / negação sempre usa a linha calibrada exata.
Pulsoid	Pulsoid
Pulsoid Token:	Token do Pulsoid:
pulsoid.net/ui/keys (paid plan required)	pulsoid.net/ui/keys (requer plano pago)
Re-Select Feed	Reselecionar vídeo
Re-Select Head	Reselecionar cabeça
Recover volume when held in the erect zone	Recuperar volume quando segurado na zona ereta
Refractory Period	Período refratário
Refractory: {}:00	Refratário: {}:00
Refractory: {}:00\n(click to skip)	Refratário: {}:00\n(clique para pular)
Refractory: {}:{}\n(click to skip)	Refratário: {}:{}\n(clique para pular)
Refresh	Atualizar
Remove all exclusion zones	Remover todas as zonas de exclusão
Reset Defaults	Restaurar padrões
Reset — navigate to the 🌿 stem!	Redefinir — navegue até o caule 🌿!
Respect volume ceiling (stay within range)	Respeitar o teto de volume (ficar na faixa)
Restim	Restim
Restim disconnected — enable its WebSocket server and check the port matches.	Restim desconectado — ative o servidor WebSocket dele e verifique se a porta bate.
Restim Port:	Porta do Restim:
Resume	Retomar
Roll the dice — odds depend on aggressiveness. Win = temporary full volume permission	Jogue os dados — as chances dependem da agressividade. Vitória = permissão temporária de volume total
Ruin Phrases (one per line)	Frases de ruína (uma por linha)
RUINED 😈	ARRUINADO 😈
Safeword:	Palavra de segurança:
Sample Text Abc 123	Texto de exemplo Abc 123
Say a number, or "cancel"	Diga um número, ou "cancel"
Scanning for BLE HR monitors…	Procurando monitores de FC BLE…
Scan…	Escanear…
Score: 0	Pontos: 0
Score: {}	Pontos: {}
Select audio file	Selecionar arquivo de áudio
Select music folder	Selecionar pasta de música
Session: 00:00  |  Edges: 0	Sessão: 00:00  |  Edges: 0
Session: {}:{}  |  Edges: {}  |  Edging {}%  Erect {}%  Flaccid {}%	Sessão: {}:{}  |  Edges: {}  |  Na beira {}%  Ereto {}%  Flácido {}%
Settings	Configurações
Setup steps:\n\n1. Open xtoys.app in a browser and sign in\n2. Scripts → search “VisualStimEdger” → Load Script\n3. Connections → add your toy under Generic Output\n4. Go to xtoys.app/me → Private Webhook\n5. Copy the Webhook ID → paste it into VSE\n6. Press the green ▶ to RUN the script — nothing moves until you do\n7. Keep the xToys tab open while you use VSE	Passos de configuração:\n\n1. Abra xtoys.app num navegador e faça login\n2. Scripts → busque "VisualStimEdger" → Load Script\n3. Connections → adicione seu brinquedo em Generic Output\n4. Vá em xtoys.app/me → Private Webhook\n5. Copie o Webhook ID → cole no VSE\n6. Aperte o ▶ verde para EXECUTAR o script — nada se move até você fazer isso\n7. Deixe a aba do xToys aberta enquanto usa o VSE
Sir Thorn's Private Sessions Vol. 2 — 21 MP3 tracks made for edging. Load them straight into this player. Opens Ko-fi.	Private Sessions Vol. 2 do Sir Thorn — 21 faixas MP3 feitas para edging. Carregue direto neste player. Abre o Ko-fi.
Sir Thorn's Sunday Drive sessions as JSON stim patterns — free / pay-what-you-want. Made for electro over your audio output. Opens Ko-fi.	As sessões Sunday Drive do Sir Thorn como padrões de estímulo em JSON — grátis / pague quanto quiser. Feitas para eletro pela sua saída de áudio. Abre o Ko-fi.
Skip voice verification	Pular a verificação por voz
Start Bondage Mode →	Iniciar Modo Bondage →
State: --  |  Vol: --  |  WS: Disconnected	Estado: --  |  Vol: --  |  WS: Desconectado
State: {}  |  Vol: {}  |  {}  |  {}  |  {} fps  |  {}	Estado: {}  |  Vol: {}  |  {}  |  {}  |  {} fps  |  {}
Step 1 — Draw a box around your video feed, then release to lock.  [Esc to cancel]	Passo 1 — Desenhe um quadro ao redor do seu vídeo, depois solte para travar.  [Esc para cancelar]
Step 2: Select Cock Head	Passo 2: Selecione a glande
Stepped back — say a number or 'back' again	Um passo atrás — diga um número ou "back" de novo
Stop YOLO from re-anchoring the tracker. Draw your box on a stable, high-contrast spot (a plug/electrode is ideal) and it stays put. Turn off to let auto-reacquire find the head again.	Impede o YOLO de reancorar o rastreamento. Desenhe seu quadro num ponto estável e de alto contraste (um plug/eletrodo é ideal) e ele fica fixo. Desligue para deixar a reaquisição automática achar a cabeça de novo.
T-code Axis	Eixo T-code
Theme: {}	Tema: {}
Time's up. Back to edging.	Acabou o tempo. De volta à beira.
Too slow!	Lento demais!
TRACKING LOST - Frozen at last position	RASTREAMENTO PERDIDO - Congelado na última posição
TRACKING SUSPECT ({}) - Frozen	RASTREAMENTO SUSPEITO ({}) - Congelado
Update available: v{}	Atualização disponível: v{}
VisualStimEdger	VisualStimEdger
VOL\nRANGE	FAIXA\nDE VOL
Vol: {}	Vol: {}
Vol: —	Vol: —
v{}  ·  edge smarter	v{}  ·  edging com esperteza
Wait {}s...	Espere {}s...
Webhook ID:	Webhook ID:
When enabled, VSE automatically rolls for cum permission each time an edge is detected. 'Min edges' sets how many edges must occur first. '1 in N' is the per-edge roll chance (lower N = more likely). Uses the same grant window as a manual roll.	Quando ativado, o VSE joga os dados automaticamente pela permissão de gozar a cada edge detectado. "Edges mín." define quantos edges precisam acontecer primeiro. "1 em N" é a chance por edge (N menor = mais provável). Usa a mesma janela de permissão que uma jogada manual.
Which T-code axis VSE sends volume commands on. This must match the axis your Restim session has bound to the parameter you want to control (usually 'Volume'). Check Restim's Websocket / T-code panel if you're unsure.	Em qual eixo T-code o VSE manda os comandos de volume. Ele precisa bater com o eixo que sua sessão do Restim vinculou ao parâmetro que você quer controlar (geralmente "Volume"). Veja o painel Websocket / T-code do Restim se estiver na dúvida.
WS: {}	WS: {}
xToys	xToys
xToys reached the cloud but the block didn't answer — press ▶ to run the VisualStimEdger block in your xToys tab (reload it if it's an old copy, or re-check your Webhook ID).	O xToys chegou à nuvem mas o bloco não respondeu — aperte ▶ para executar o bloco VisualStimEdger na sua aba do xToys (recarregue se for uma cópia antiga, ou reveja seu Webhook ID).
xToys Setup	Configuração do xToys
xToys: block STOPPED?	xToys: bloco PARADO?
xToys: Live	xToys: Ao vivo
xToys: Live ({})	xToys: Ao vivo ({})
xToys: No ID	xToys: Sem ID
xToys: Offline	xToys: Offline
xToys: paste your Webhook ID from xtoys.app/me → Private Webhook (or tap Get ID).	xToys: cole seu Webhook ID de xtoys.app/me → Private Webhook (ou toque em "Get ID").
You've been a good boy. {}:{} remaining.	Você foi um bom menino. Faltam {}:{}.
You've been a good boy.{} You have {} min.	Você foi um bom menino.{} Você tem {} min.
You've been edging {}+ times, hands-free.	Você já está na beira {}+ vezes, sem as mãos.
Zoom in first — say a number!	Aproxime primeiro — diga um número!
{} bpm	{} bpm
{} edges	{} edges
{} px	{} px
{}px	{}px
← Back	← Voltar
↩ Undo (3s)	↩ Desfazer (3s)
⏳ Cum window: {}s remaining — say 'came' or click Cancel	⏳ Janela pra gozar: {}s restantes — diga "came" ou clique Cancelar
▶ Play	▶ Reproduzir
▶ RESUME SESSION	▶ RETOMAR SESSÃO
☕ Tribute	☕ Tributo
♥ -- bpm	♥ -- bpm
♥ No HR	♥ Sem FC
♥ {} bpm	♥ {} bpm
⚡ Free stim patterns ↗	⚡ Padrões de estímulo grátis ↗
⚡ P.O.N.R.	⚡ P.S.R.
⚡ Point of No Return — cut	⚡ Ponto sem retorno — cortar
✓  HIT!	✓  ACERTOU!
✓ Safeword verified!	✓ Palavra de segurança verificada!
✕ Cancel	✕ Cancelar
✕ Clear	✕ Limpar
＋ Exclusion Zone	＋ Zona de exclusão
🍆  Grid Navigator Practice	🍆  Prática do navegador de grade
🍆 Grid Practice	🍆 Prática de grade
🎉 Nice shot!	🎉 Belo tiro!
🎙 BONDAGE	🎙 BONDAGE
🎙 Bondage active — safeword: "{}"	🎙 Bondage ativo — palavra de segurança: "{}"
🎙 Bondage Mode Defaults	🎙 Padrões do Modo Bondage
🎙 Bondage Mode Setup	🎙 Configuração do Modo Bondage
🎙 Bondage Mode — Setup	🎙 Modo Bondage — Configuração
🎙 Confirm failed — feed gone?	🎙 Confirmação falhou — vídeo sumiu?
🎙 Exclude zone — say 1-9 to zoom, 'exclude'/'here' to add	🎙 Zona de exclusão — diga 1-9 para aproximar, "exclude"/"here" para adicionar
🎙 Exclusion zone added ({} total) — say 'clear exclude' to remove all	🎙 Zona de exclusão adicionada ({} no total) — diga "clear exclude" para remover todas
🎙 Exclusion zones cleared	🎙 Zonas de exclusão limpas
🎙 Grid cancelled	🎙 Grade cancelada
🎙 Grid cell {} (zoom {}) — say 'here' to lock, or zoom more	🎙 Célula {} (zoom {}) — diga "here" para travar, ou aproxime mais
🎙 Grid reset — say 1-9 to zoom	🎙 Grade redefinida — diga 1-9 para aproximar
🎙 Grid — say 1-9 to zoom, 'here' to lock	🎙 Grade — diga 1-9 para aproximar, "here" para travar
🎙 Head reselected ✓	🎙 Cabeça reselecionada ✓
🎙 Lines set — adjust with voice	🎙 Linhas definidas — ajuste com a voz
🎙 MIC	🎙 MIC
🎙 No windows found	🎙 Nenhuma janela encontrada
🎙 Paused (say 'resume')	🎙 Em pausa (diga "resume")
🎙 Session resumed	🎙 Sessão retomada
🎙 Source switch cancelled	🎙 Troca de fonte cancelada
🎙 Source switch failed	🎙 Troca de fonte falhou
🎙 Source → {}… — say 'find head' to reanchor	🎙 Fonte → {}… — diga "find head" para reancorar
🎙 Switch Source	🎙 Trocar fonte
