en	es
"Let me cum?" Odds  (1 in N chance)	Probabilidad de "¿Me dejas correrme?"  (1 entre N)
(single word)	(una sola palabra)
(up to 6 seconds)	(hasta 6 segundos)
0 edges	0 bordes
1 in	1 entre
1-in-N chance	probabilidad 1 entre N
1–9  zoom in    •    here  confirm    •    back  step back    •    cancel  reset	1–9  acercar    •    "here"  confirmar    •    "back"  retroceder    •    "cancel"  reiniciar
? Setup Guide	? Guía de configuración
After you back off the edge and hold for the configured time (Settings → Edging behaviour), volume ramps back toward your max until you edge again — then the cycle repeats. Off = normal reactive mode.	Cuando te apartas del borde y aguantas el tiempo configurado (Ajustes → Comportamiento del borde), el volumen vuelve a subir hacia tu máximo hasta que llegas al borde otra vez — y el ciclo se repite. Desactivado = modo reactivo normal.
Aggressiveness	Agresividad
Already at full view!	¡Ya estás en la vista completa!
Appearance	Apariencia
Apply (restarts app)	Aplicar (reinicia la app)
Audio: No Device	Audio: Sin dispositivo
Audio: OK	Audio: OK
Auto-calibrate heights by observing motion range	Calibra las alturas automáticamente observando el rango de movimiento
Auto-Cum Detection	Detección automática de orgasmo
Auto-detect cum	Detectar orgasmo automáticamente
Back to full view — navigate to the 🌿 stem!	Volver a la vista completa — ¡navega al tallo 🌿!
Before you hit Start	Antes de pulsar Iniciar
BLE Direct	BLE directo
BLE HR — Scan	BLE FC — Escanear
Bondage Mode — hands-free voice control (requires Vosk model)	Modo Bondage — control por voz manos libres (requiere el modelo Vosk)
Calibration	Calibración
Calibration — set all 3 (required)	Calibración — configura las 3 (obligatorio)
Can't reach xToys — check your internet connection and Webhook ID.	No se puede conectar con xToys — comprueba tu conexión a internet y el Webhook ID.
Cancel	Cancelar
Cell {} — 'here' to pin · up/down/left/right to nudge · 'back' to step back · 'cancel' to reset	Celda {} — di "here" para fijar · "up/down/left/right" para ajustar · "back" para retroceder · "cancel" para reiniciar
Close	Cerrar
Configure your microphone and safeword before the session starts.	Configura tu micrófono y tu palabra de seguridad antes de que empiece la sesión.
Confirm Head Area ✅	Confirmar zona de la cabeza ✅
Connect	Conectar
Continue →	Continuar →
Controls how fast volume ramps and 'Let me cum?' odds.\nEasy: gentle ramps, 1-in-2 odds, 5 min grant\nMiddle: moderate ramps, 1-in-4 odds, 5 min grant\nHard: fast ramps, 1-in-6 odds, 3 min grant\nExpert: aggressive ramps, 1-in-30 odds, 1 min grant	Controla la rapidez con que sube el volumen y la probabilidad de "¿Me dejas correrme?".\nFácil: subidas suaves, 1 entre 2, permiso de 5 min\nMedio: subidas moderadas, 1 entre 4, permiso de 5 min\nDifícil: subidas rápidas, 1 entre 6, permiso de 3 min\nExperto: subidas agresivas, 1 entre 30, permiso de 1 min
Cooldown after I've CUM	Tiempo de espera después de correrme
Copied!	¡Copiado!
Copy	Copiar
Countdown delay	Retraso de la cuenta atrás
CUM NOW! {}:00	¡CÓRRETE YA! {}:00
CUM NOW! {}:{}	¡CÓRRETE YA! {}:{}
Cum Volume Behavior	Comportamiento del volumen al correrse
Default mic device:	Micrófono predeterminado:
Default safeword:	Palabra de seguridad predeterminada:
Denial Phrases  (one per line)	Frases de negación  (una por línea)
DENIED!	¡DENEGADO!
Detection sensitivity	Sensibilidad de detección
Device:	Dispositivo:
Download	Descargar
Drag handles to set volume floor (bottom) and ceiling (top).\nGreen triangle = where 'Let me cum?' sends volume.\nChange override behavior in Settings > Cum Volume Behavior.	Arrastra los tiradores para fijar el mínimo (abajo) y el máximo (arriba) del volumen.\nEl triángulo verde = a dónde envía el volumen "¿Me dejas correrme?".\nCambia el comportamiento en Ajustes > Comportamiento del volumen al correrse.
Draw a rectangle on the video feed — YOLO reanchor detections inside it will be ignored	Dibuja un rectángulo sobre el vídeo — las detecciones de reanclaje de YOLO dentro de él se ignorarán
e.g. 8hR5acKTCx2s	p. ej. 8hR5acKTCx2s
Edging behaviour	Comportamiento del borde
Edging Sensitivity	Sensibilidad del borde
Enable hands-free mode	Activar modo manos libres
EVIL MODE	MODO MALVADO
First time setup?	¿Primera vez que lo configuras?
Font Size	Tamaño de fuente
Free tool. One guy made it. Tribute your dev? 😈	Herramienta gratis. La hizo una sola persona. ¿Le rindes tributo al dev? 😈
Freeze volume at current level — tracking continues but volume won't change	Congela el volumen en el nivel actual — el seguimiento continúa pero el volumen no cambia
Get ID ↗	Obtener ID ↗
Got it — close	Entendido — cerrar
Hands-Free "Let Me Cum?"	"¿Me dejas correrme?" manos libres
hard stop — mic stays on.\nsay "resume session" to continue	parada total — el micrófono sigue encendido.\ndi "resume session" para continuar
HELD [|]	RETENIDO [|]
Higher HR → stronger denial, slower rewards.  Get a free token at pulsoid.net/ui/keys — works with Polar, Garmin, Apple Watch, most BLE chest straps via the Pulsoid app.	FC más alta → negación más fuerte, recompensas más lentas.  Consigue un token gratis en pulsoid.net/ui/keys — funciona con Polar, Garmin, Apple Watch y la mayoría de bandas de pecho BLE mediante la app de Pulsoid.
Higher sensitivity = triggers on less motion change. If it fires too easily, lower this. The countdown delay lets you cancel false positives.	Mayor sensibilidad = se activa con menos cambio de movimiento. Si salta demasiado fácil, baja esto. El retraso de la cuenta atrás te deja cancelar los falsos positivos.
Hold Volume	Mantener volumen
How long after cumming before the session auto-resumes. Set to 0 to disable the timer and resume manually. Clicking the button during refractory skips it early.	Cuánto tiempo tras correrte antes de que la sesión se reanude sola. Ponlo en 0 para desactivar el temporizador y reanudar a mano. Pulsar el botón durante el periodo refractario lo salta antes.
HR Source:	Fuente de FC:
HTTP {}	HTTP {}
I'm ready — select my camera feed  →	Estoy listo — seleccionar mi cámara  →
I've CUM	ME HE CORRIDO
In xToys: load the VisualStimEdger script → add your toy under Connections → Generic Output, then press ▶ to run it (nothing moves until it runs). Tap “Get ID” to open xtoys.app/me → Private Webhook, then paste the ID here.	En xToys: carga el script de VisualStimEdger → añade tu juguete en Connections → Generic Output, luego pulsa ▶ para ejecutarlo (nada se mueve hasta que se ejecuta). Toca "Get ID" para abrir xtoys.app/me → Private Webhook, y pega aquí el ID.
Let me cum?	¿Me dejas correrme?
Level	Nivel
loading…	cargando…
Loop:	Bucle:
Manual ✚	Manual ✚
Mic level:	Nivel del micrófono:
Microphone:	Micrófono:
Min edges	Bordes mín.
Miss — aim for the green ring at the top!	¡Fallo — apunta al aro verde de arriba!
MP3: {}	MP3: {}
Navigate to the 🌿 stem!	¡Navega al tallo 🌿!
No device selected	Ningún dispositivo seleccionado
No file loaded	Ningún archivo cargado
Not now	Ahora no
Not yet. Wait {}s.	Todavía no. Espera {}s.
OBS Overlay:	Overlay de OBS:
OK	OK
Optional cut-off	Corte opcional
OPTIONAL hard cut-off — you don't need this set. Place a yellow line above the red edging line; cross ABOVE it and volume instantly drops to your floor, so a sudden spike can't finish you before the normal ramp reacts. Leave it unset (or push it to the very top) to disable. ✕ clears it.	Corte brusco OPCIONAL — no hace falta configurarlo. Coloca una línea amarilla por encima de la línea roja del borde; si la cruzas por ARRIBA, el volumen cae al instante a tu mínimo, para que un pico repentino no te haga acabar antes de que reaccione la subida normal. Déjalo sin configurar (o súbelo del todo) para desactivarlo. ✕ lo borra.
Out:	Salida:
Output	Salida
Override to 100% volume (ignore range)	Forzar volumen al 100% (ignorar el rango)
Per-difficulty tuning below. Recovery = how fast volume climbs back while you hold in the erect zone (%/sec). Hold = seconds off the edge before Active Edging ramps. Ramp = how fast it climbs to max (%/sec). Defaults get more relentless on harder levels.	Ajuste por dificultad abajo. Recuperación = con qué rapidez sube el volumen mientras aguantas en la zona erecta (%/s). Aguante = segundos fuera del borde antes de que el Edging Activo suba. Subida = con qué rapidez llega al máximo (%/s). Los valores por defecto se vuelven más implacables en los niveles difíciles.
Play Mode — minimal immersive view; hides settings	Modo Inmersivo — vista mínima e inmersiva; oculta los ajustes
Practice Grid →	Cuadrícula de práctica →
Press after finishing — volume drops to 0 and stays there. Press again (as 'Resume') if you want to go another round.	Púlsalo al terminar — el volumen baja a 0 y se queda ahí. Púlsalo otra vez (como "Reanudar") si quieres otra ronda.
Pulls the Edging state-display toward Erect by N pixels so the OBS overlay lights up earlier. Affects only the State label / OBS broadcast — the volume / denial math always uses the strict calibrated line.	Empuja la visualización del estado Al borde hacia Erecto N píxeles para que el overlay de OBS se encienda antes. Solo afecta a la etiqueta de Estado / la emisión a OBS — el cálculo de volumen / negación siempre usa la línea calibrada exacta.
Pulsoid	Pulsoid
Pulsoid Token:	Token de Pulsoid:
pulsoid.net/ui/keys (paid plan required)	pulsoid.net/ui/keys (requiere plan de pago)
Re-Select Feed	Reseleccionar cámara
Re-Select Head	Reseleccionar cabeza
Recover volume when held in the erect zone	Recuperar volumen al aguantar en la zona erecta
Refractory Period	Periodo refractario
Refractory: {}:00	Refractario: {}:00
Refractory: {}:00\n(click to skip)	Refractario: {}:00\n(clic para saltar)
Refractory: {}:{}\n(click to skip)	Refractario: {}:{}\n(clic para saltar)
Refresh	Actualizar
Remove all exclusion zones	Eliminar todas las zonas de exclusión
Reset Defaults	Restablecer valores
Reset — navigate to the 🌿 stem!	Reiniciar — ¡navega al tallo 🌿!
Respect volume ceiling (stay within range)	Respetar el máximo de volumen (mantenerse en el rango)
Restim	Restim
Restim disconnected — enable its WebSocket server and check the port matches.	Restim desconectado — activa su servidor WebSocket y comprueba que el puerto coincide.
Restim Port:	Puerto de Restim:
Resume	Reanudar
Roll the dice — odds depend on aggressiveness. Win = temporary full volume permission	Tira los dados — las probabilidades dependen de la agresividad. Ganar = permiso temporal de volumen completo
Ruin Phrases (one per line)	Frases de ruina (una por línea)
RUINED 😈	ARRUINADO 😈
Safeword:	Palabra de seguridad:
Sample Text Abc 123	Texto de muestra Abc 123
Say a number, or "cancel"	Di un número, o "cancel"
Scanning for BLE HR monitors…	Buscando monitores de FC BLE…
Scan…	Escanear…
Score: 0	Puntuación: 0
Score: {}	Puntuación: {}
Select audio file	Seleccionar archivo de audio
Select music folder	Seleccionar carpeta de música
Session: 00:00  |  Edges: 0	Sesión: 00:00  |  Bordes: 0
Session: {}:{}  |  Edges: {}  |  Edging {}%  Erect {}%  Flaccid {}%	Sesión: {}:{}  |  Bordes: {}  |  Al borde {}%  Erecto {}%  Flácido {}%
Settings	Ajustes
