en	fr
"Let me cum?" Odds  (1 in N chance)	Probabilité de "Je peux jouir ?"  (1 sur N)
(single word)	(un seul mot)
(up to 6 seconds)	(jusqu’à 6 secondes)
0 edges	0 edges
1 in	1 sur
1-in-N chance	probabilité 1 sur N
1–9  zoom in    •    here  confirm    •    back  step back    •    cancel  reset	1–9  zoomer    •    "here"  confirmer    •    "back"  revenir    •    "cancel"  réinitialiser
? Setup Guide	? Guide de configuration
After you back off the edge and hold for the configured time (Settings → Edging behaviour), volume ramps back toward your max until you edge again — then the cycle repeats. Off = normal reactive mode.	Quand tu t’éloignes du bord et que tu tiens le temps configuré (Paramètres → Comportement du bord), le volume remonte vers ton maximum jusqu’à ce que tu reviennes au bord — puis le cycle recommence. Désactivé = mode réactif normal.
Aggressiveness	Agressivité
Already at full view!	Déjà en vue complète !
Appearance	Apparence
Apply (restarts app)	Appliquer (redémarre l’app)
Audio: No Device	Audio : Aucun périphérique
Audio: OK	Audio : OK
Auto-calibrate heights by observing motion range	Calibrer les hauteurs automatiquement en observant l’amplitude de mouvement
Auto-Cum Detection	Détection automatique de l’orgasme
Auto-detect cum	Détecter l’orgasme automatiquement
Back to full view — navigate to the 🌿 stem!	Retour à la vue complète — navigue vers la tige 🌿 !
Before you hit Start	Avant d’appuyer sur Démarrer
BLE Direct	BLE direct
BLE HR — Scan	BLE FC — Scanner
Bondage Mode — hands-free voice control (requires Vosk model)	Mode Bondage — commande vocale mains libres (nécessite le modèle Vosk)
Calibration	Calibration
Calibration — set all 3 (required)	Calibration — règle les 3 (obligatoire)
Can't reach xToys — check your internet connection and Webhook ID.	Impossible de joindre xToys — vérifie ta connexion internet et le Webhook ID.
Cancel	Annuler
Cell {} — 'here' to pin · up/down/left/right to nudge · 'back' to step back · 'cancel' to reset	Cellule {} — "here" pour épingler · "up/down/left/right" pour ajuster · "back" pour revenir · "cancel" pour réinitialiser
Close	Fermer
Configure your microphone and safeword before the session starts.	Configure ton microphone et ton mot de sécurité avant que la séance commence.
Confirm Head Area ✅	Confirmer la zone de la tête ✅
Connect	Connecter
Continue →	Continuer →
Controls how fast volume ramps and 'Let me cum?' odds.\nEasy: gentle ramps, 1-in-2 odds, 5 min grant\nMiddle: moderate ramps, 1-in-4 odds, 5 min grant\nHard: fast ramps, 1-in-6 odds, 3 min grant\nExpert: aggressive ramps, 1-in-30 odds, 1 min grant	Contrôle la vitesse de montée du volume et les chances de "Je peux jouir ?".\nFacile : montées douces, 1 sur 2, permission de 5 min\nMoyen : montées modérées, 1 sur 4, permission de 5 min\nDifficile : montées rapides, 1 sur 6, permission de 3 min\nExpert : montées agressives, 1 sur 30, permission de 1 min
Cooldown after I've CUM	Temps de repos après avoir joui
Copied!	Copié !
Copy	Copier
Countdown delay	Délai du compte à rebours
CUM NOW! {}:00	JOUIS MAINTENANT ! {}:00
CUM NOW! {}:{}	JOUIS MAINTENANT ! {}:{}
