en	de
"Let me cum?" Odds  (1 in N chance)	Wahrscheinlichkeit für "Darf ich kommen?"  (1 zu N)
(single word)	(ein einzelnes Wort)
(up to 6 seconds)	(bis zu 6 Sekunden)
0 edges	0 Edges
1 in	1 zu
1-in-N chance	Chance 1 zu N
1–9  zoom in    •    here  confirm    •    back  step back    •    cancel  reset	1–9  heranzoomen    •    "here"  bestätigen    •    "back"  zurück    •    "cancel"  zurücksetzen
? Setup Guide	? Einrichtungshilfe
After you back off the edge and hold for the configured time (Settings → Edging behaviour), volume ramps back toward your max until you edge again — then the cycle repeats. Off = normal reactive mode.	Wenn du dich vom Rand zurückziehst und die eingestellte Zeit hältst (Einstellungen → Edging-Verhalten), steigt die Lautstärke wieder zu deinem Maximum, bis du erneut an den Rand kommst — dann wiederholt sich der Zyklus. Aus = normaler reaktiver Modus.
Aggressiveness	Aggressivität
Already at full view!	Bereits in der Vollansicht!
Appearance	Darstellung
Apply (restarts app)	Übernehmen (startet die App neu)
Audio: No Device	Audio: Kein Gerät
Audio: OK	Audio: OK
Auto-calibrate heights by observing motion range	Höhen automatisch kalibrieren, indem der Bewegungsbereich beobachtet wird
Auto-Cum Detection	Automatische Orgasmus-Erkennung
Auto-detect cum	Orgasmus automatisch erkennen
Back to full view — navigate to the 🌿 stem!	Zurück zur Vollansicht — navigiere zum 🌿 Stiel!
Before you hit Start	Bevor du auf Start drückst
BLE Direct	BLE direkt
BLE HR — Scan	BLE HF — Scannen
Bondage Mode — hands-free voice control (requires Vosk model)	Bondage-Modus — freihändige Sprachsteuerung (benötigt das Vosk-Modell)
Calibration	Kalibrierung
Calibration — set all 3 (required)	Kalibrierung — alle 3 einstellen (erforderlich)
Can't reach xToys — check your internet connection and Webhook ID.	xToys nicht erreichbar — prüfe deine Internetverbindung und die Webhook-ID.
Cancel	Abbrechen
Cell {} — 'here' to pin · up/down/left/right to nudge · 'back' to step back · 'cancel' to reset	Zelle {} — "here" zum Anheften · "up/down/left/right" zum Verschieben · "back" für zurück · "cancel" zum Zurücksetzen
Close	Schließen
Configure your microphone and safeword before the session starts.	Richte dein Mikrofon und dein Safeword ein, bevor die Sitzung beginnt.
Confirm Head Area ✅	Kopfbereich bestätigen ✅
Connect	Verbinden
Continue →	Weiter →
Controls how fast volume ramps and 'Let me cum?' odds.\nEasy: gentle ramps, 1-in-2 odds, 5 min grant\nMiddle: moderate ramps, 1-in-4 odds, 5 min grant\nHard: fast ramps, 1-in-6 odds, 3 min grant\nExpert: aggressive ramps, 1-in-30 odds, 1 min grant	Steuert, wie schnell die Lautstärke steigt und die "Darf ich kommen?"-Chancen.\nLeicht: sanfte Anstiege, 1 zu 2, 5 Min Freigabe\nMittel: moderate Anstiege, 1 zu 4, 5 Min Freigabe\nSchwer: schnelle Anstiege, 1 zu 6, 3 Min Freigabe\nExperte: aggressive Anstiege, 1 zu 30, 1 Min Freigabe
Cooldown after I've CUM	Abklingzeit, nachdem ich GEKOMMEN bin
Copied!	Kopiert!
Copy	Kopieren
Countdown delay	Countdown-Verzögerung
CUM NOW! {}:00	KOMM JETZT! {}:00
CUM NOW! {}:{}	KOMM JETZT! {}:{}
Cum Volume Behavior	Lautstärke-Verhalten beim Kommen
Default mic device:	Standard-Mikrofon:
Default safeword:	Standard-Safeword:
Denial Phrases  (one per line)	Verweigerungs-Sätze  (einer pro Zeile)
DENIED!	VERWEIGERT!
Detection sensitivity	Erkennungsempfindlichkeit
Device:	Gerät:
Download	Herunterladen
Drag handles to set volume floor (bottom) and ceiling (top).\nGreen triangle = where 'Let me cum?' sends volume.\nChange override behavior in Settings > Cum Volume Behavior.	Zieh die Griffe, um Lautstärke-Minimum (unten) und -Maximum (oben) festzulegen.\nGrünes Dreieck = wohin "Darf ich kommen?" die Lautstärke schickt.\nÄndere das Override-Verhalten in Einstellungen > Lautstärke-Verhalten beim Kommen.
Draw a rectangle on the video feed — YOLO reanchor detections inside it will be ignored	Zeichne ein Rechteck auf das Videobild — YOLO-Neuverankerungen darin werden ignoriert
e.g. 8hR5acKTCx2s	z. B. 8hR5acKTCx2s
Edging behaviour	Edging-Verhalten
Edging Sensitivity	Edging-Empfindlichkeit
Enable hands-free mode	Freihändigen Modus aktivieren
EVIL MODE	BÖSER MODUS
First time setup?	Zum ersten Mal einrichten?
Font Size	Schriftgröße
Free tool. One guy made it. Tribute your dev? 😈	Kostenloses Tool. Von einer einzigen Person gemacht. Deinem Dev Tribut zollen? 😈
Freeze volume at current level — tracking continues but volume won't change	Lautstärke auf aktuellem Level einfrieren — Tracking läuft weiter, aber die Lautstärke ändert sich nicht
Get ID ↗	ID holen ↗
Got it — close	Verstanden — schließen
Hands-Free "Let Me Cum?"	Freihändiges "Darf ich kommen?"
hard stop — mic stays on.\nsay "resume session" to continue	harter Stopp — Mikrofon bleibt an.\nsage "resume session" zum Fortfahren
HELD [|]	GEHALTEN [|]
Higher HR → stronger denial, slower rewards.  Get a free token at pulsoid.net/ui/keys — works with Polar, Garmin, Apple Watch, most BLE chest straps via the Pulsoid app.	Höhere HF → stärkere Verweigerung, langsamere Belohnungen.  Hol dir einen kostenlosen Token auf pulsoid.net/ui/keys — funktioniert mit Polar, Garmin, Apple Watch und den meisten BLE-Brustgurten über die Pulsoid-App.
Higher sensitivity = triggers on less motion change. If it fires too easily, lower this. The countdown delay lets you cancel false positives.	Höhere Empfindlichkeit = löst bei weniger Bewegungsänderung aus. Wenn es zu leicht auslöst, senke das. Die Countdown-Verzögerung lässt dich Fehlalarme abbrechen.
Hold Volume	Lautstärke halten
How long after cumming before the session auto-resumes. Set to 0 to disable the timer and resume manually. Clicking the button during refractory skips it early.	Wie lange nach dem Kommen, bis die Sitzung automatisch fortgesetzt wird. Auf 0 setzen, um den Timer zu deaktivieren und manuell fortzusetzen. Ein Klick auf den Knopf während der Refraktärzeit überspringt sie früher.
HR Source:	HF-Quelle:
HTTP {}	HTTP {}
I'm ready — select my camera feed  →	Ich bin bereit — mein Kamerabild auswählen  →
I've CUM	ICH BIN GEKOMMEN
In xToys: load the VisualStimEdger script → add your toy under Connections → Generic Output, then press ▶ to run it (nothing moves until it runs). Tap “Get ID” to open xtoys.app/me → Private Webhook, then paste the ID here.	In xToys: lade das VisualStimEdger-Script → füge dein Spielzeug unter Connections → Generic Output hinzu, dann drücke ▶ zum Ausführen (nichts bewegt sich, bis es läuft). Tippe auf "Get ID", um xtoys.app/me → Private Webhook zu öffnen, und füge die ID hier ein.
Let me cum?	Darf ich kommen?
Level	Stufe
loading…	lädt…
Loop:	Schleife:
Manual ✚	Manuell ✚
Mic level:	Mikrofon-Pegel:
Microphone:	Mikrofon:
Min edges	Min. Edges
Miss — aim for the green ring at the top!	Daneben — ziele auf den grünen Ring oben!
MP3: {}	MP3: {}
Navigate to the 🌿 stem!	Navigiere zum 🌿 Stiel!
No device selected	Kein Gerät ausgewählt
No file loaded	Keine Datei geladen
Not now	Jetzt nicht
Not yet. Wait {}s.	Noch nicht. Warte {}s.
OBS Overlay:	OBS-Overlay:
OK	OK
Optional cut-off	Optionaler Cut-off
